family,importance_sum
mag_thermal,0.7772317
mag_atomic,0.0571388
frac/Cu,0.020321986
mag_density,0.013920221
mag_ionization,0.013599522
frac/Ba,0.0114348605
mag_electron,0.009466161
mag_en,0.009426517
frac/Pr,0.007398189
frac/Ca,0.0066654943
frac/Zn,0.0049831346
frac/O,0.0049114767
frac/Ag,0.004675267
frac/Fe,0.004556367
frac/Mg,0.0045260824
frac/Pb,0.0033170579
frac/Sr,0.0025829857
frac/H,0.0025475665
frac/Nb,0.0025265669
frac/La,0.002265546
frac/B,0.0021933252
frac/C,0.0018927736
frac/Nd,0.0013615009
frac/Co,0.0013507396
frac/Y,0.0013338305
frac/Bi,0.0012883554
frac/As,0.0011795454
frac/Hg,0.001117728
frac/Tl,0.0010704513
frac/Gd,0.0010644152
frac/Se,0.0010273899
frac/Ce,0.0010220073
frac/Cr,0.0009677447
frac/Mo,0.000852898
frac/Sm,0.0007896184
frac/Cd,0.0007742629
frac/Dy,0.000766358
frac/Cl,0.0007435954
frac/Eu,0.00073425774
frac/Br,0.00068521
frac/P,0.00068292266
frac/Yb,0.0006704889
frac/Sn,0.0006413604
frac/Tm,0.0006362078
frac/V,0.00058791094
frac/Sc,0.00058498484
frac/Al,0.0005657469
frac/Sb,0.0005504711
frac/Cs,0.0005216224
frac/Na,0.0005004577
frac/I,0.00047680916
frac/N,0.00046991446
frac/Ga,0.0004510281
frac/Hf,0.00039540662
frac/Ni,0.00039250328
frac/In,0.00036275835
frac/S,0.00036112338
frac/Tc,0.0003581408
frac/Ge,0.00034602758
frac/Er,0.00033693959
frac/F,0.00033097208
frac/Te,0.0003097955
frac/Mn,0.00030587555
frac/Ti,0.0003011403
frac/Tb,0.00029299015
frac/Lu,0.00027327033
frac/W,0.00025916204
frac/Re,0.00024255367
frac/Ho,0.00023528574
frac/Be,0.0002284406
frac/Ru,0.00021042037
frac/Rb,0.00018813314
frac/Pt,0.00017367765
frac/Li,0.00016292068
frac/Pd,0.00016095459
frac/Ir,0.00015820828
frac/Ta,0.000121590754
frac/Si,0.00009378926
frac/K,0.0000890483
frac/Rh,0.00007756661
frac/Zr,0.000074448544
frac/Au,0.00006856461
frac/Os,0.000036932117
frac/Pm,0.0
frac/Po,0.0
frac/Kr,0.0
mag_fusion,0.0
frac/Ar,0.0
frac/Rn,0.0
frac/At,0.0
frac/Ne,0.0
frac/He,0.0
frac/Xe,0.0
