family,importance_sum
mag_thermal,0.81686115
mag_atomic,0.040630113
frac/Cu,0.017473564
mag_ionization,0.013182905
mag_density,0.012791466
frac/Ba,0.009787046
mag_electron,0.009623965
mag_en,0.007989138
frac/Pr,0.00632396
frac/Ca,0.0053315707
frac/Zn,0.0043198625
frac/O,0.004201078
frac/Mg,0.004059406
frac/Fe,0.003973209
frac/Pb,0.0027329207
frac/Sr,0.002371801
frac/Nb,0.0022038934
frac/H,0.002144766
frac/C,0.0017166992
frac/B,0.0017126203
frac/La,0.0016089587
frac/Nd,0.0013327242
frac/Ag,0.0012268805
frac/Bi,0.0011547353
frac/Y,0.0011523187
frac/As,0.0011346582
frac/Co,0.001132606
frac/Tm,0.0009416235
frac/Se,0.0008943249
frac/Hg,0.0008450678
frac/Cr,0.0007855065
frac/Tl,0.00077041984
frac/Gd,0.0007524873
frac/Sm,0.0007450118
frac/Cs,0.00072140334
frac/Yb,0.000712572
frac/P,0.000703472
frac/Dy,0.0006946268
frac/Mo,0.0006711062
frac/V,0.0006675229
frac/Ce,0.00063851534
frac/Cd,0.0006228221
frac/Sn,0.0005903204
frac/Cl,0.0005140244
frac/Eu,0.0005115299
frac/Al,0.0004883143
frac/S,0.00045599297
frac/Er,0.0004225277
frac/Ga,0.00040585524
frac/Na,0.00040573176
frac/Sc,0.00036125042
frac/Hf,0.00035419705
frac/Ni,0.00035246488
frac/In,0.0003469857
frac/Lu,0.0003410971
frac/Sb,0.00033732812
frac/W,0.0003249159
frac/Ge,0.0002832428
frac/Te,0.00027883195
frac/Mn,0.00027621133
frac/Tc,0.0002701495
frac/Be,0.00026870513
frac/F,0.00026215558
frac/Ho,0.000245347
frac/Pt,0.0002402419
frac/N,0.00023336818
frac/I,0.0002314876
frac/Re,0.00022232479
frac/Ti,0.00021611506
frac/Li,0.0002076734
frac/Ru,0.00018873041
frac/Pd,0.0001589462
frac/Tb,0.00015563345
frac/Ir,0.00015301499
frac/Si,0.0001298665
frac/K,0.00009885302
frac/Au,0.00007350475
frac/Zr,0.0000670315
frac/Rb,0.000064905835
frac/Rh,0.00006142677
frac/Ta,0.00002395776
frac/Os,0.000021008385
frac/Br,0.000014261182
frac/Pm,0.0
frac/Ar,0.0
frac/Rn,0.0
mag_fusion,0.0
frac/Ne,0.0
frac/He,0.0
frac/Po,0.0
frac/Kr,0.0
frac/At,0.0
frac/Xe,0.0
